fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.58,0.719,0.11,2.15,0.204,14.3,36.9,0.99836,3.39,0.7,10.3,5
7.83,0.578,0.38,3.16,0.211,16.4,66.7,0.99279,3.36,0.8,12.2,7
8.75,0.636,0.19,3.98,0.053,22.5,74.2,0.99696,3.32,0.47,10.0,5
10.96,0.591,0.15,1.24,0.141,14.0,51.8,0.99621,3.26,0.69,10.1,5
7.59,0.707,0.43,2.62,0.119,14.8,47.3,0.99653,3.33,0.48,9.7,7
11.54,0.518,0.19,5.1,0.302,8.4,15.2,0.99835,3.18,0.7,9.5,5
6.81,0.855,0.18,4.79,0.127,23.6,79.5,0.999,3.32,0.48,9.0,5
5.46,0.746,0.0,,0.113,21.5,62.4,0.99721,3.31,0.62,10.4,5
7.72,0.332,0.32,1.53,0.134,11.1,31.9,0.99441,3.17,0.68,11.9,7
7.22,0.522,0.46,2.08,0.114,8.6,23.2,0.99759,3.42,0.38,10.5,7
5.35,0.804,0.23,1.22,0.149,14.5,48.3,0.99705,3.19,0.71,9.0,6
9.5,0.493,0.18,0.93,0.113,4.6,11.9,0.99705,3.33,0.62,10.4,6
7.79,0.724,0.02,2.21,0.153,26.1,79.6,0.99734,3.36,0.62,9.2,5
8.5,0.623,0.19,3.18,0.107,18.4,56.1,0.99757,3.19,0.74,9.5,5
8.04,0.414,0.37,2.81,0.072,6.6,21.2,0.99663,3.27,0.75,10.8,6
9.95,0.714,0.17,4.76,0.147,18.1,54.7,0.99801,3.36,0.73,9.2,5
8.63,0.738,0.51,1.89,0.089,8.8,25.9,0.99797,3.5,0.58,10.0,6
7.48,0.498,0.22,1.69,0.229,38.6,117.3,0.99775,3.25,0.69,10.8,6
7.48,0.288,0.0,7.85,0.065,16.2,41.9,0.99586,3.46,0.75,11.0,7
7.24,0.363,0.06,1.75,0.153,12.9,30.2,0.99776,3.36,0.76,8.5,5
8.65,0.66,0.0,1.89,0.108,26.6,98.1,0.99627,3.12,0.66,10.9,6
10.34,0.567,0.35,1.63,0.092,18.1,72.8,0.99668,3.29,0.52,10.2,6
5.73,0.474,0.59,1.79,0.204,11.2,28.0,0.99735,3.24,0.7,10.1,6
12.2,0.504,0.49,2.09,0.113,4.7,16.4,0.9949,3.19,0.61,11.5,6
9.29,0.569,0.28,3.53,0.131,14.6,52.3,0.99726,3.36,0.73,9.0,6
5.23,0.566,0.0,1.91,0.072,9.2,24.5,0.99727,3.17,0.76,10.4,5
11.62,0.451,0.45,0.9,0.172,10.6,16.6,0.99739,3.23,0.51,10.3,6
7.16,0.649,0.44,2.22,0.084,10.7,18.4,0.99453,3.33,0.74,11.8,5
7.0,0.535,0.19,1.96,0.074,5.1,8.0,0.99614,3.45,0.33,9.3,5
7.92,0.928,0.01,1.21,0.138,7.3,8.6,0.99695,3.29,0.68,9.7,5
8.73,0.343,0.39,1.49,0.15,8.8,26.4,0.99521,3.15,0.88,10.7,5
8.84,0.821,0.16,2.09,0.216,7.7,18.1,0.999,3.2,0.71,8.7,5
7.45,0.579,0.13,4.55,0.375,13.2,28.4,0.99706,3.28,0.63,10.0,7
8.15,0.226,0.52,1.63,0.114,12.6,33.8,0.99615,3.18,0.75,11.0,6
9.32,0.755,0.21,6.58,0.096,17.4,51.2,0.99866,3.38,0.92,8.5,5
8.14,0.421,0.04,1.81,0.152,8.2,39.5,0.99686,3.32,0.53,9.1,5
10.37,0.664,0.26,1.2,0.073,43.0,122.6,0.99757,3.31,0.46,8.6,5
8.42,0.4,0.49,2.58,0.239,12.4,35.3,0.99671,3.39,0.62,10.3,6
9.05,0.453,0.35,6.17,0.1,13.7,54.1,0.99656,3.36,0.8,10.5,6
6.99,0.449,0.13,2.68,0.097,23.2,52.1,0.99742,3.5,0.88,9.5,7
6.43,0.668,0.33,1.37,0.058,28.4,100.3,0.99947,3.33,0.56,8.4,5
6.61,0.688,0.22,3.07,0.086,19.5,46.4,0.99659,3.31,0.68,10.1,6
8.08,0.597,0.28,2.72,0.103,31.7,105.3,0.99859,3.44,0.61,8.7,6
10.65,0.583,0.0,1.51,0.083,7.3,12.0,0.99739,3.22,0.94,9.6,6
7.49,0.771,0.09,0.9,0.129,18.5,53.7,0.99837,3.27,0.56,9.4,3
7.29,0.473,0.33,2.63,0.201,14.0,45.5,0.99762,3.35,0.67,9.9,6
8.52,0.587,0.44,0.9,0.192,14.7,57.4,0.99695,3.42,0.47,9.3,4
9.27,0.474,0.47,1.52,0.149,3.8,6.0,0.99958,3.34,0.8,8.4,6
8.49,0.683,0.51,2.4,0.103,18.6,56.4,0.99701,3.27,0.75,9.1,5
8.36,0.439,0.09,3.13,0.06,16.0,41.0,0.995,3.28,0.76,10.8,6
5.89,0.612,0.14,0.9,0.205,19.5,56.3,0.99986,3.27,0.36,8.7,5
7.8,0.892,0.25,1.06,0.114,14.3,35.3,1.00015,3.27,0.52,8.4,5
7.54,0.421,0.42,1.43,0.052,10.7,28.7,0.99735,3.43,0.6,9.6,7
7.8,0.478,0.16,2.08,0.214,10.2,16.0,0.99966,3.31,0.65,8.4,5
5.2,0.508,0.22,2.76,0.15,22.0,53.6,0.99929,3.4,0.68,8.4,5
7.96,0.518,0.15,1.17,0.171,22.8,78.0,0.99891,3.4,0.52,9.5,5
8.8,0.5,0.23,1.1,0.106,13.4,18.9,0.99854,3.26,0.71,9.7,6
6.75,0.567,0.21,1.54,0.21,21.4,43.4,0.99776,3.47,0.73,9.8,6
5.55,0.277,0.34,0.9,0.061,3.1,6.0,0.99644,3.23,0.45,9.7,6
9.76,0.463,0.04,1.01,0.125,9.0,42.4,0.99658,3.33,0.58,11.2,7
8.93,0.471,0.45,2.7,0.151,29.3,99.2,0.99587,3.31,0.58,10.4,6
8.81,0.327,0.22,1.76,0.093,6.2,13.4,0.99717,3.25,0.67,10.4,7
7.3,0.354,0.25,2.5,0.1,19.6,65.4,0.99872,3.39,0.5,8.4,5
6.39,0.656,0.0,1.24,0.147,2.2,14.1,0.99778,3.2,0.61,9.6,5
6.96,0.551,0.28,1.21,0.1,39.0,132.4,0.99762,3.43,0.62,8.9,5
10.36,0.689,0.24,1.4,0.212,12.1,29.2,0.99843,3.36,0.56,9.6,6
6.02,0.822,0.29,2.55,0.176,16.5,49.1,0.99579,3.31,0.61,10.7,5
7.37,0.495,0.11,5.63,0.13,27.2,111.6,0.99888,3.24,0.7,9.0,5
10.19,0.77,0.45,1.01,0.117,33.4,72.7,0.99829,3.44,0.71,9.2,6
10.78,0.61,0.1,1.17,0.183,7.1,6.0,0.99807,3.35,0.67,8.9,6
12.22,0.387,0.25,1.18,0.089,15.2,54.4,0.99885,3.21,0.62,9.3,5
10.32,0.596,0.0,0.98,0.08,10.8,40.0,0.99865,3.13,0.9,9.3,6
7.16,0.416,0.46,2.59,0.174,23.6,81.8,0.99615,3.3,0.47,10.8,6
5.92,0.579,0.18,1.37,0.14,6.1,14.5,0.99783,3.39,0.73,9.3,5
7.96,0.627,0.21,0.9,0.195,34.6,77.9,0.99645,3.25,0.38,10.9,6
7.82,0.628,0.25,3.32,0.215,6.1,33.3,0.99698,3.26,0.84,10.7,6
7.5,0.737,0.19,2.52,0.105,3.7,17.1,0.99764,3.31,0.68,9.0,5
8.63,0.282,0.6,1.86,0.085,21.3,66.1,0.99724,3.34,0.69,9.3,6
11.83,0.472,0.13,1.23,0.099,40.4,120.8,0.99713,3.04,0.71,10.4,6
7.96,0.671,0.33,2.51,0.083,31.4,100.0,0.99425,3.42,0.52,11.8,5
10.2,0.502,0.32,5.29,0.067,7.7,12.2,0.99704,3.24,0.63,10.1,6
7.19,0.58,0.22,1.97,0.085,6.7,18.0,0.99592,3.25,0.71,11.7,6
9.22,0.512,0.0,2.33,0.124,30.0,84.9,0.99693,3.31,0.6,9.9,6
9.41,0.574,0.1,2.41,0.111,15.7,60.5,0.99706,3.39,0.68,10.3,6
7.1,0.591,0.23,0.98,0.117,13.6,40.9,0.99792,3.3,0.51,10.4,6
11.94,0.647,0.0,2.09,0.215,13.4,32.1,0.99845,3.18,0.61,8.8,5
5.58,0.486,0.46,2.23,0.148,15.0,44.4,0.99528,3.18,0.65,10.8,7
8.5,0.649,0.45,2.44,0.118,10.1,38.1,0.99897,3.23,0.6,8.6,6
6.25,0.546,0.35,2.0,0.114,12.6,41.3,0.99525,3.35,0.59,10.6,5
7.29,0.605,0.39,1.01,0.225,7.7,27.4,0.99759,3.29,0.81,9.4,6
9.27,0.562,0.24,0.94,0.277,17.3,45.7,0.9992,3.24,0.82,8.6,5
10.25,0.793,0.39,1.78,0.071,51.8,157.8,0.99731,3.25,0.71,10.2,5
10.87,0.575,0.29,2.5,0.191,13.2,28.6,0.99783,3.34,0.73,9.8,6
10.43,0.389,0.76,7.22,0.072,28.8,80.2,0.99927,3.37,0.63,8.4,5
11.28,0.593,0.38,1.59,0.084,26.0,73.0,0.99639,3.26,0.6,9.8,5
9.21,0.672,0.42,2.68,0.043,17.6,64.2,0.99633,3.43,0.69,11.1,7
7.98,0.587,0.5,1.91,0.1,28.5,75.7,0.9968,3.39,0.82,10.4,7
8.54,0.645,0.0,1.47,0.105,19.8,35.4,0.9994,3.36,0.62,9.1,7
9.32,0.689,0.31,1.85,0.118,6.9,19.1,0.99695,3.34,0.58,9.8,5
